CountyName ,Race/Ethnicity,PeopleVaccinated,PeopleFullyVaccinated,TotalVaccinations,CountyNames
Clay,Other,591,549,1263,Clay
Clay,Unknown,381,342,726,Clay
Clay,White,3357,3099,6716,Clay
Cochran,Asian,3,3,4,Cochran
Cochran,Black,24,20,40,Cochran
Cochran,Hispanic,570,505,1006,Cochran
Cochran,Other,81,74,152,Cochran
Cochran,Unknown,165,140,304,Cochran
Cochran,White,297,280,535,Cochran
Coke,Asian,1,1,2,Coke
Coke,Black,2,2,4,Coke
Coke,Hispanic,195,172,374,Coke
Coke,Other,181,159,364,Coke
Coke,Unknown,38,27,61,Coke
Coke,White,908,810,1810,Coke
Coleman,Asian,15,13,31,Coleman
Coleman,Black,28,24,48,Coleman
Coleman,Hispanic,276,239,506,Coleman
Coleman,Other,262,220,479,Coleman
Coleman,Unknown,1269,1120,2414,Coleman
Coleman,White,1334,1237,2547,Coleman
Collin,Asian,119093,109445,232139,Collin
Collin,Black,52118,46012,99307,Collin
Collin,Hispanic,93190,80875,173346,Collin
Collin,Other,120819,110490,251181,Collin
Collin,Unknown,31138,25135,55529,Collin
Collin,White,280933,254540,550484,Collin
Collingsworth,Asian,3,3,6,Collingsworth
Collingsworth,Black,22,14,32,Collingsworth
Collingsworth,Hispanic,179,143,291,Collingsworth
Collingsworth,Other,78,70,152,Collingsworth
Collingsworth,Unknown,73,49,122,Collingsworth
Collingsworth,White,615,549,1101,Collingsworth
Colorado,Asian,73,66,133,Colorado
Colorado,Black,959,871,1787,Colorado
Colorado,Hispanic,2463,2186,4411,Colorado
Colorado,Other,1236,1104,2510,Colorado
Colorado,Unknown,1079,938,1883,Colorado
Colorado,White,5836,5265,10916,Colorado
Comal,Asian,1278,1144,2443,Comal
Comal,Black,1732,1479,3252,Comal
Comal,Hispanic,19071,16637,35471,Comal
Comal,Other,17898,16011,36194,Comal
Comal,Unknown,5531,4537,9855,Comal
Comal,White,51916,46796,98990,Comal
Comanche,Asian,18,14,32,Comanche
Comanche,Black,10,6,18,Comanche
Comanche,Hispanic,1197,1062,2171,Comanche
Comanche,Other,424,371,851,Comanche
Comanche,Unknown,1541,1391,3100,Comanche
Comanche,White,3107,2841,6027,Comanche
Concho,Asian,7,6,14,Concho
Concho,Black,18,6,24,Concho
Concho,Hispanic,393,249,622,Concho
Concho,Other,112,100,227,Concho
Concho,Unknown,193,175,358,Concho
Concho,White,708,645,1369,Concho
Cooke,Asian,168,137,307,Cooke
Cooke,Black,328,269,596,Cooke
Cooke,Hispanic,2557,2014,4460,Cooke
Cooke,Other,1651,1379,3157,Cooke
Cooke,Unknown,1951,1688,3533,Cooke
Cooke,White,10078,8656,18695,Cooke
Coryell,Asian,576,498,1081,Coryell
Coryell,Black,4010,3497,7543,Coryell
Coryell,Hispanic,3203,2782,6022,Coryell
Coryell,Other,5290,4645,10258,Coryell
Coryell,Unknown,1945,1488,3466,Coryell
Coryell,White,16488,14638,31670,Coryell
Cottle,Black,13,13,22,Cottle
Cottle,Hispanic,108,91,203,Cottle
Cottle,Other,98,90,195,Cottle
Cottle,Unknown,25,24,47,Cottle
Cottle,White,304,278,575,Cottle
Crane,Asian,8,8,17,Crane
Crane,Black,12,10,21,Crane
Crane,Hispanic,1192,846,2189,Crane
Crane,Other,177,139,340,Crane
Crane,Unknown,89,71,163,Crane
Crane,White,591,454,1108,Crane
Crockett,Asian,16,14,36,Crockett
Crockett,Black,6,5,10,Crockett
Crockett,Hispanic,904,789,1773,Crockett
Crockett,Other,174,149,363,Crockett
Crockett,Unknown,45,36,81,Crockett
Crockett,White,474,417,961,Crockett
Crosby,Asian,7,6,12,Crosby
Crosby,Black,43,39,80,Crosby
Crosby,Hispanic,1150,1040,2222,Crosby
Crosby,Other,264,228,516,Crosby
Crosby,Unknown,264,234,538,Crosby
Crosby,White,892,831,1794,Crosby
Culberson,Asian,33,28,61,Culberson
Culberson,Black,2,1,3,Culberson
Culberson,Hispanic,766,677,1461,Culberson
Culberson,Other,65,57,131,Culberson
Culberson,Unknown,153,146,305,Culberson
Culberson,White,205,177,375,Culberson
Dallam,Asian,16,15,34,Dallam
Dallam,Black,41,29,69,Dallam
Dallam,Hispanic,1610,1161,2805,Dallam
Dallam,Other,294,213,517,Dallam
Dallam,Unknown,845,600,1476,Dallam
Dallam,White,847,673,1564,Dallam
Dallas,Asian,116591,105480,225646,Dallas
Dallas,Black,230849,198878,435988,Dallas
Dallas,Hispanic,561276,475153,1028386,Dallas
Dallas,Other,229185,199751,461429,Dallas
Dallas,Unknown,63803,49020,111169,Dallas
Dallas,White,411735,369614,806336,Dallas
Dawson,Asian,18,18,37,Dawson
Dawson,Black,384,346,643,Dawson
Dawson,Hispanic,1693,1429,3076,Dawson
Dawson,Other,709,598,1199,Dawson
Dawson,Unknown,352,320,682,Dawson
Dawson,White,1462,1279,2607,Dawson
Deaf Smith,Asian,31,30,62,Deaf Smith
Deaf Smith,Black,43,36,82,Deaf Smith
Deaf Smith,Hispanic,4912,4344,8887,Deaf Smith
Deaf Smith,Other,479,401,903,Deaf Smith
Deaf Smith,Unknown,851,723,1619,Deaf Smith
Deaf Smith,White,1678,1527,3249,Deaf Smith
Delta,Asian,15,11,25,Delta
Delta,Black,115,104,220,Delta
Delta,Hispanic,121,98,218,Delta
Delta,Other,276,252,548,Delta
Delta,Unknown,160,141,313,Delta
Delta,White,1180,1055,2310,Delta
Denton,Asian,52888,48605,102409,Denton
Denton,Black,41955,37447,81087,Denton
Denton,Hispanic,93954,82636,178231,Denton
Denton,Other,90690,83207,189764,Denton
Denton,Unknown,19274,15628,33505,Denton
Denton,White,248208,229386,497704,Denton
DeWitt,Asian,57,47,105,DeWitt
DeWitt,Black,579,533,1110,DeWitt
DeWitt,Hispanic,1751,1595,3193,DeWitt
DeWitt,Other,1484,1299,2926,DeWitt
DeWitt,Unknown,695,580,1300,DeWitt
DeWitt,White,4759,4410,9203,DeWitt
Dickens,Asian,5,5,10,Dickens
Dickens,Black,9,10,18,Dickens
Dickens,Hispanic,116,104,208,Dickens
Dickens,Other,75,63,146,Dickens
Dickens,Unknown,41,32,71,Dickens
Dickens,White,493,457,937,Dickens
Dimmit,Asian,31,30,69,Dimmit
Dimmit,Black,37,32,72,Dimmit
Dimmit,Hispanic,6607,4017,11019,Dimmit
Dimmit,Other,408,352,852,Dimmit
Dimmit,Unknown,543,458,1012,Dimmit
Dimmit,White,1130,1002,2337,Dimmit
Donley,Asian,6,6,12,Donley
Donley,Black,27,20,48,Donley
Donley,Hispanic,97,71,170,Donley
Donley,Other,281,251,557,Donley
Donley,Unknown,105,87,205,Donley
Donley,White,791,678,1509,Donley
Duval,Asian,23,23,50,Duval
Duval,Black,118,104,226,Duval
Duval,Hispanic,5263,4541,10222,Duval
Duval,Other,510,413,1011,Duval
Duval,Unknown,363,278,661,Duval
Duval,White,1278,1056,2464,Duval
Eastland,Asian,55,51,94,Eastland
Eastland,Black,57,43,103,Eastland
Eastland,Hispanic,847,681,1492,Eastland
Eastland,Other,606,526,1095,Eastland
Eastland,Unknown,576,462,1039,Eastland
Eastland,White,4766,4152,8858,Eastland
Ector,Asian,1059,957,2136,Ector
Ector,Black,2096,1774,3933,Ector
Ector,Hispanic,29082,24286,54790,Ector
Ector,Other,9691,8469,18603,Ector
Ector,Unknown,4410,3578,7914,Ector
Ector,White,27011,24185,51936,Ector
Edwards,Black,2,1,3,Edwards
Edwards,Hispanic,250,211,470,Edwards
Edwards,Other,65,57,126,Edwards
Edwards,Unknown,66,58,123,Edwards
Edwards,White,362,328,696,Edwards
El Paso,Asian,3798,3252,7275,El Paso
El Paso,Black,6103,4902,10851,El Paso
El Paso,Hispanic,490872,424392,926306,El Paso
El Paso,Other,27507,23038,53263,El Paso
El Paso,Unknown,53388,43757,100042,El Paso
El Paso,White,42323,35956,79674,El Paso
Ellis,Asian,891,792,1719,Ellis
Ellis,Black,11753,10271,22321,Ellis
Ellis,Hispanic,19231,16524,35599,Ellis
Ellis,Other,14015,12361,27770,Ellis
Ellis,Unknown,4064,3229,6961,Ellis
Ellis,White,49467,44116,94635,Ellis
Erath,Asian,163,149,311,Erath
Erath,Black,134,112,236,Erath
Erath,Hispanic,2699,2302,4942,Erath
Erath,Other,2276,2083,4639,Erath
Erath,Unknown,887,771,1606,Erath
Erath,White,10178,9037,19165,Erath
Falls,Asian,47,45,95,Falls
Falls,Black,1493,1253,2747,Falls
Falls,Hispanic,1224,1040,2251,Falls
Falls,Other,1045,885,1978,Falls
Falls,Unknown,644,551,1190,Falls
Falls,White,3708,3233,7119,Falls
Fannin,Asian,75,68,142,Fannin
Fannin,Black,798,715,1459,Fannin
Fannin,Hispanic,1428,1242,2539,Fannin
Fannin,Other,1309,1172,2577,Fannin
Fannin,Unknown,1572,1366,3076,Fannin
Fannin,White,9558,8552,18046,Fannin
Fayette,Asian,62,51,115,Fayette
Fayette,Black,537,448,966,Fayette
Fayette,Hispanic,1631,1303,2785,Fayette
Fayette,Other,2564,2305,5228,Fayette
Fayette,Unknown,801,661,1427,Fayette
Fayette,White,8341,7281,15321,Fayette
Fisher,Asian,1,1,2,Fisher
Fisher,Black,22,18,35,Fisher
Fisher,Hispanic,331,287,594,Fisher
Fisher,Other,80,57,140,Fisher
Fisher,Unknown,235,210,465,Fisher
Fisher,White,810,738,1475,Fisher
Floyd,Asian,4,4,7,Floyd
Floyd,Black,37,33,69,Floyd
Floyd,Hispanic,1117,1016,2118,Floyd
Floyd,Other,189,154,353,Floyd
Floyd,Unknown,164,142,291,Floyd
Floyd,White,1047,961,2003,Floyd
Foard,Asian,1,0,1,Foard
Foard,Black,21,19,37,Foard
Foard,Hispanic,62,41,103,Foard
Foard,Other,25,23,51,Foard
Foard,Unknown,132,110,263,Foard
Foard,White,330,272,644,Foard
Fort Bend,Asian,105882,97007,208648,Fort Bend
Fort Bend,Black,81838,72621,157258,Fort Bend
Fort Bend,Hispanic,118610,104198,223163,Fort Bend
Fort Bend,Other,113756,104810,235788,Fort Bend
Fort Bend,Unknown,24363,18969,43215,Fort Bend
Fort Bend,White,132251,119205,256960,Fort Bend
Franklin,Asian,30,25,53,Franklin
Franklin,Black,129,111,245,Franklin
Franklin,Hispanic,438,358,775,Franklin
Franklin,Other,451,401,923,Franklin
Franklin,Unknown,545,450,928,Franklin
Franklin,White,2543,2238,4773,Franklin
Freestone,Asian,63,52,116,Freestone
Freestone,Black,1136,1009,2111,Freestone
Freestone,Hispanic,737,629,1311,Freestone
Freestone,Other,1154,1008,2223,Freestone
Freestone,Unknown,286,203,460,Freestone
Freestone,White,4567,4102,8323,Freestone
Frio,Asian,43,37,81,Frio
Frio,Black,636,572,762,Frio
Frio,Hispanic,7278,6357,11889,Frio
Frio,Other,1521,1312,2422,Frio
Frio,Unknown,704,558,1291,Frio
Frio,White,1682,1484,3117,Frio
Gaines,Asian,25,22,46,Gaines
Gaines,Black,60,56,108,Gaines
Gaines,Hispanic,1969,1707,3470,Gaines
Gaines,Other,415,351,773,Gaines
Gaines,Unknown,1016,928,1910,Gaines
Gaines,White,1305,1160,2393,Gaines
Galveston,Asian,9373,8758,18367,Galveston
Galveston,Black,20880,18883,42338,Galveston
Galveston,Hispanic,42977,38730,84377,Galveston
Galveston,Other,49416,46702,109596,Galveston
Galveston,Unknown,6028,4754,10256,Galveston
Galveston,White,76693,69642,148567,Galveston
Garza,Asian,18,15,27,Garza
Garza,Black,67,55,96,Garza
Garza,Hispanic,2055,1951,3026,Garza
Garza,Other,190,156,345,Garza
Garza,Unknown,54,47,100,Garza
Garza,White,760,698,1408,Garza
Gillespie,Asian,98,87,178,Gillespie
Gillespie,Black,28,25,57,Gillespie
Gillespie,Hispanic,1697,1420,3087,Gillespie
Gillespie,Other,1916,1752,4040,Gillespie
Gillespie,Unknown,1725,1533,3258,Gillespie
Gillespie,White,9735,8746,19039,Gillespie
Glasscock,Asian,2,1,3,Glasscock
Glasscock,Hispanic,202,164,362,Glasscock
Glasscock,Other,92,78,175,Glasscock
Glasscock,Unknown,32,25,57,Glasscock
Glasscock,White,302,264,568,Glasscock
Goliad,Asian,13,11,26,Goliad
Goliad,Black,82,77,155,Goliad
Goliad,Hispanic,849,737,1606,Goliad
Goliad,Other,437,406,908,Goliad
Goliad,Unknown,354,309,684,Goliad
Goliad,White,1611,1482,3113,Goliad
Gonzales,Asian,42,39,78,Gonzales
Gonzales,Black,481,436,878,Gonzales
Gonzales,Hispanic,3467,3166,6168,Gonzales
Gonzales,Other,1361,1200,2567,Gonzales
Gonzales,Unknown,1176,1027,2117,Gonzales
Gonzales,White,4147,3786,7688,Gonzales
Gray,Asian,61,61,123,Gray
Gray,Black,334,310,564,Gray
Gray,Hispanic,1557,1353,2889,Gray
Gray,Other,1172,1053,2169,Gray
Gray,Unknown,943,792,1753,Gray
Gray,White,4645,4201,8768,Gray
Grayson,Asian,639,578,1145,Grayson
Grayson,Black,2458,2120,4275,Grayson
Grayson,Hispanic,6384,5453,11268,Grayson
Grayson,Other,8686,7609,17215,Grayson
Grayson,Unknown,5897,5074,10887,Grayson
Grayson,White,37181,32814,68305,Grayson
Gregg,Asian,804,720,1557,Gregg
Gregg,Black,9183,8048,17767,Gregg
Gregg,Hispanic,9344,8098,17446,Gregg
Gregg,Other,8587,7729,17790,Gregg
Gregg,Unknown,3823,3095,6898,Gregg
Gregg,White,28021,25196,55346,Gregg
Grimes,Asian,81,76,156,Grimes
Grimes,Black,1855,1656,3422,Grimes
Grimes,Hispanic,2598,2230,4727,Grimes
Grimes,Other,2120,1885,4133,Grimes
Grimes,Unknown,1590,1292,2819,Grimes
Grimes,White,7710,6895,14539,Grimes
Guadalupe,Asian,1621,1462,3060,Guadalupe
Guadalupe,Black,5041,4379,9413,Guadalupe
Guadalupe,Hispanic,26597,23586,48862,Guadalupe
Guadalupe,Other,16668,14904,33228,Guadalupe
Guadalupe,Unknown,6793,5783,12289,Guadalupe
Guadalupe,White,35983,32587,66612,Guadalupe
Hale,Asian,68,56,123,Hale
Hale,Black,431,392,702,Hale
Hale,Hispanic,6669,6016,12193,Hale
Hale,Other,1860,1617,3240,Hale
Hale,Unknown,904,766,1655,Hale
Hale,White,3965,3624,7272,Hale
Hall,Asian,7,6,14,Hall
Hall,Black,62,56,115,Hall
Hall,Hispanic,393,349,702,Hall
Hall,Other,122,110,238,Hall
Hall,Unknown,47,38,83,Hall
Hall,White,668,611,1298,Hall
Hamilton,Asian,12,13,25,Hamilton
Hamilton,Black,9,9,15,Hamilton
Hamilton,Hispanic,442,373,780,Hamilton
Hamilton,Other,197,183,408,Hamilton
Hamilton,Unknown,287,249,535,Hamilton
Hamilton,White,3326,3081,6358,Hamilton
Hansford,Asian,7,7,14,Hansford
Hansford,Black,2,2,6,Hansford
Hansford,Hispanic,944,859,1600,Hansford
Hansford,Other,80,64,145,Hansford
Hansford,Unknown,261,233,497,Hansford
Hansford,White,998,918,1897,Hansford
Hardeman,Asian,13,13,25,Hardeman
Hardeman,Black,56,49,99,Hardeman
Hardeman,Hispanic,277,252,498,Hardeman
Hardeman,Other,57,52,110,Hardeman
Hardeman,Unknown,375,347,761,Hardeman
Hardeman,White,1037,956,1984,Hardeman
Hardin,Asian,190,169,360,Hardin
Hardin,Black,1106,947,2080,Hardin
Hardin,Hispanic,1163,973,2129,Hardin
Hardin,Other,3545,3164,7105,Hardin
Hardin,Unknown,1564,1228,2763,Hardin
Hardin,White,15241,13349,29238,Hardin
Harris,Asian,213410,195106,405812,Harris
Harris,Black,350639,298660,648690,Harris
Harris,Hispanic,1121438,959432,2050830,Harris
Harris,Other,496809,445308,989593,Harris
Harris,Unknown,142763,106782,250277,Harris
Harris,White,708735,633479,1357736,Harris
Harrison,Asian,192,182,362,Harrison
Harrison,Black,4818,4296,9039,Harrison
Harrison,Hispanic,2838,2502,5183,Harrison
Harrison,Other,3781,3408,7680,Harrison
Harrison,Unknown,1845,1469,3156,Harrison
Harrison,White,13388,11988,25258,Harrison
Hartley,Asian,8,7,16,Hartley
Hartley,Black,98,92,179,Hartley
Hartley,Hispanic,898,675,1520,Hartley
Hartley,Other,406,364,758,Hartley
Hartley,Unknown,518,407,943,Hartley
Hartley,White,1003,848,1916,Hartley
Haskell,Asian,20,17,39,Haskell
Haskell,Black,52,41,90,Haskell
Haskell,Hispanic,463,329,770,Haskell
Haskell,Other,153,117,284,Haskell
Haskell,Unknown,224,207,430,Haskell
Haskell,White,1389,1178,2526,Haskell
Hays,Asian,2512,2191,4731,Hays
Hays,Black,3893,3362,7198,Hays
Hays,Hispanic,40575,33675,74518,Hays
Hays,Other,23958,21345,48234,Hays
Hays,Unknown,15152,12739,26801,Hays
Hays,White,61150,54730,117829,Hays
Hemphill,Asian,8,7,12,Hemphill
Hemphill,Black,2,1,2,Hemphill
Hemphill,Hispanic,438,391,716,Hemphill
Hemphill,Other,139,117,274,Hemphill
Hemphill,Unknown,178,157,340,Hemphill
Hemphill,White,917,840,1695,Hemphill
Henderson,Asian,272,233,507,Henderson
Henderson,Black,1625,1418,3050,Henderson
Henderson,Hispanic,4063,3453,7436,Henderson
Henderson,Other,4115,3678,8255,Henderson
Henderson,Unknown,2229,1851,3807,Henderson
Henderson,White,22123,19577,42032,Henderson
Hidalgo,Asian,2804,2498,5525,Hidalgo
Hidalgo,Black,1336,1111,2466,Hidalgo
Hidalgo,Hispanic,486660,418813,930804,Hidalgo
Hidalgo,Other,39850,33267,74055,Hidalgo
Hidalgo,Unknown,26788,21460,49137,Hidalgo
Hidalgo,White,88692,77653,165667,Hidalgo
Hill,Asian,123,112,238,Hill
Hill,Black,617,498,1076,Hill
Hill,Hispanic,2329,1969,4159,Hill
Hill,Other,1691,1501,3285,Hill
Hill,Unknown,1307,1029,2248,Hill
