ObjectId,Category,Category_Description,General_Population,At_Least_One_Dose,Fully_Vaccinated,Note,Date
227,5Cat Age Groups,18+,1450476,1172493,976931,VA and DOD data included,2021/07/13 05:00:00+00
228,5Cat Age Groups,18-49,898710,536986,454587,VA and DOD data included,2021/07/13 05:00:00+00
229,5Cat Age Groups,50-64,320289,274645,230748,"VA data included, DOD data not included",2021/07/13 05:00:00+00
230,5Cat Age Groups,65+,247843,246116,192578,"VA data included, DOD data not included",2021/07/13 05:00:00+00
231,Gender,Female,769303,598057,508993,"VA data included, DOD data not included",2021/07/13 05:00:00+00
232,Gender,Male,736913,528550,417888,"VA data included, DOD data not included",2021/07/13 05:00:00+00
233,Gender,Other,,207,182,"VA data included, DOD data not included",2021/07/13 05:00:00+00
234,Gender,Unknown,,2447,2012,"VA data included, DOD data not included",2021/07/13 05:00:00+00
235,Race/Ethnicity,Hispanic,906742,491055,409177,"VA data included, DOD data not included",2021/07/13 05:00:00+00
236,Race/Ethnicity,NH White,417222,327084,274480,"VA data included, DOD data not included",2021/07/13 05:00:00+00
237,Race/Ethnicity,NH Asian,43680,31027,26956,"VA data included, DOD data not included",2021/07/13 05:00:00+00
238,Race/Ethnicity,NH Black,115979,49066,35738,"VA data included, DOD data not included",2021/07/13 05:00:00+00
239,Race/Ethnicity,NH Other,24099,139179,116796,"VA data included, DOD data not included",2021/07/13 05:00:00+00
240,Race/Ethnicity,Unknown,,91850,65928,"VA data included, DOD data not included",2021/07/13 05:00:00+00
241,MultiCat Age Groups,15-Dec,,41040,28869,VA and DOD data not included,2021/07/13 05:00:00+00
242,MultiCat Age Groups,16-18,,43651,34614,VA and DOD data not included,2021/07/13 05:00:00+00
243,MultiCat Age Groups,19-29,,171444,141948,VA and DOD data not included,2021/07/13 05:00:00+00
244,MultiCat Age Groups,30-39,,173445,147927,VA and DOD data not included,2021/07/13 05:00:00+00
245,MultiCat Age Groups,40-49,,176678,152375,VA and DOD data not included,2021/07/13 05:00:00+00
246,MultiCat Age Groups,50-59,,178784,156747,VA and DOD data not included,2021/07/13 05:00:00+00
247,MultiCat Age Groups,60-64,,83208,74001,VA and DOD data not included,2021/07/13 05:00:00+00
248,MultiCat Age Groups,65-75,,140455,126043,VA and DOD data not included,2021/07/13 05:00:00+00
249,MultiCat Age Groups,76-85,,56308,49914,VA and DOD data not included,2021/07/13 05:00:00+00
250,MultiCat Age Groups,86-95,,17654,15351,VA and DOD data not included,2021/07/13 05:00:00+00
251,MultiCat Age Groups,96+,,1572,1270,VA and DOD data not included,2021/07/13 05:00:00+00
252,5Cat Age Groups,12+,1661614,1254379,1039246,VA and DOD data included,2021/07/20 05:00:00+00
253,5Cat Age Groups,16+,1552823,1211227,1008759,VA and DOD data included,2021/07/20 05:00:00+00
254,5Cat Age Groups,18+,1450476,1182262,985901,VA and DOD data included,2021/07/20 05:00:00+00
255,5Cat Age Groups,18-49,898710,543610,460278,VA and DOD data included,2021/07/20 05:00:00+00
256,5Cat Age Groups,50-64,320289,276414,232318,"VA data included, DOD data not included",2021/07/20 05:00:00+00
257,5Cat Age Groups,65+,247843,247441,193603,"VA data included, DOD data not included",2021/07/20 05:00:00+00
258,Gender,Female,769303,604228,514422,"VA data included, DOD data not included",2021/07/20 05:00:00+00
259,Gender,Male,736913,534992,422941,"VA data included, DOD data not included",2021/07/20 05:00:00+00
260,Gender,Other,,208,184,"VA data included, DOD data not included",2021/07/20 05:00:00+00
261,Gender,Unknown,,2439,2014,"VA data included, DOD data not included",2021/07/20 05:00:00+00
262,Race/Ethnicity,Hispanic,906742,496211,413700,"VA data included, DOD data not included",2021/07/20 05:00:00+00
263,Race/Ethnicity,NH White,417222,329158,276159,"VA data included, DOD data not included",2021/07/20 05:00:00+00
264,Race/Ethnicity,NH Asian,43680,31208,27149,"VA data included, DOD data not included",2021/07/20 05:00:00+00
265,Race/Ethnicity,NH Black,115979,49709,36271,"VA data included, DOD data not included",2021/07/20 05:00:00+00
266,Race/Ethnicity,NH Other,24099,142779,120001,"VA data included, DOD data not included",2021/07/20 05:00:00+00
267,Race/Ethnicity,Unknown,,92802,66281,"VA data included, DOD data not included",2021/07/20 05:00:00+00
268,MultiCat Age Groups,15-Dec,,43152,30487,VA and DOD data not included,2021/07/20 05:00:00+00
269,MultiCat Age Groups,16-18,,44714,35505,VA and DOD data not included,2021/07/20 05:00:00+00
270,MultiCat Age Groups,19-29,,174202,144249,VA and DOD data not included,2021/07/20 05:00:00+00
271,MultiCat Age Groups,30-39,,175380,149558,VA and DOD data not included,2021/07/20 05:00:00+00
272,MultiCat Age Groups,40-49,,178279,153824,VA and DOD data not included,2021/07/20 05:00:00+00
273,MultiCat Age Groups,50-59,,179901,157868,VA and DOD data not included,2021/07/20 05:00:00+00
274,MultiCat Age Groups,60-64,,83656,74450,VA and DOD data not included,2021/07/20 05:00:00+00
275,MultiCat Age Groups,65-75,,141022,126693,VA and DOD data not included,2021/07/20 05:00:00+00
276,MultiCat Age Groups,76-85,,56520,50179,VA and DOD data not included,2021/07/20 05:00:00+00
277,MultiCat Age Groups,86-95,,17743,15446,VA and DOD data not included,2021/07/20 05:00:00+00
278,MultiCat Age Groups,96+,,1586,1285,VA and DOD data not included,2021/07/20 05:00:00+00
279,5Cat Age Groups,12+,1661614,1276058,1052806,VA and DOD data included,2021/07/27 05:00:00+00
280,5Cat Age Groups,16+,1552823,1229259,1020388,VA and DOD data included,2021/07/27 05:00:00+00
281,5Cat Age Groups,18+,1450476,1199005,996819,VA and DOD data included,2021/07/27 05:00:00+00
282,5Cat Age Groups,18-49,898710,555684,467750,VA and DOD data included,2021/07/27 05:00:00+00
283,5Cat Age Groups,50-64,320289,279565,234494,"VA data included, DOD data not included",2021/07/27 05:00:00+00
284,5Cat Age Groups,65+,247843,248959,194873,"VA data included, DOD data not included",2021/07/27 05:00:00+00
285,Gender,Female,769303,614839,521346,"VA data included, DOD data not included",2021/07/27 05:00:00+00
286,Gender,Male,736913,546077,429581,"VA data included, DOD data not included",2021/07/27 05:00:00+00
287,Gender,Other,,207,184,"VA data included, DOD data not included",2021/07/27 05:00:00+00
288,Gender,Unknown,,2433,2010,"VA data included, DOD data not included",2021/07/27 05:00:00+00
289,Race/Ethnicity,Hispanic,906742,503715,418535,"VA data included, DOD data not included",2021/07/27 05:00:00+00
290,Race/Ethnicity,NH White,417222,334110,279138,"VA data included, DOD data not included",2021/07/27 05:00:00+00
291,Race/Ethnicity,NH Asian,43680,31543,27421,"VA data included, DOD data not included",2021/07/27 05:00:00+00
292,Race/Ethnicity,NH Black,115979,50642,36885,"VA data included, DOD data not included",2021/07/27 05:00:00+00
293,Race/Ethnicity,NH Other,24099,149374,124580,"VA data included, DOD data not included",2021/07/27 05:00:00+00
294,Race/Ethnicity,Unknown,,94172,66562,"VA data included, DOD data not included",2021/07/27 05:00:00+00
